wave_A  modfactor_lo  modfactor_hi
56.544000  0.95327200  0.92103680
56.576000  0.95328800  0.92102720
56.608000  0.95330400  0.92101760
56.640000  0.95332000  0.92100800
56.672000  0.95333600  0.92099840
56.704000  0.95335200  0.92098880
56.736000  0.95336800  0.92097920
56.768000  0.95338400  0.92096960
56.800000  0.95340000  0.92096000
56.832000  0.95341600  0.92095040
56.864000  0.95343200  0.92094080
56.896000  0.95344800  0.92093120
56.928000  0.95346400  0.92092160
56.960000  0.95348000  0.92091200
56.992000  0.95349600  0.92090240
57.024000  0.95351200  0.92089280
57.056000  0.95352800  0.92088320
57.088000  0.95354400  0.92087360
57.120000  0.95356000  0.92086400
57.152000  0.95357600  0.92085440
57.184000  0.95359200  0.92084480
57.216000  0.95360800  0.92083520
57.248000  0.95362400  0.92082560
57.280000  0.95364000  0.92081600
57.312000  0.95365600  0.92080640
57.344000  0.95367200  0.92079680
57.376000  0.95368800  0.92078720
57.408000  0.95370400  0.92077760
57.440000  0.95372000  0.92076800
57.472000  0.95373600  0.92075840
57.504000  0.95375200  0.92074880
57.536000  0.95376800  0.92073920
57.568000  0.95378400  0.92072960
57.600000  0.95380000  0.92072000
57.632000  0.95381600  0.92071040
57.664000  0.95383200  0.92070080
57.696000  0.95384800  0.92069120
57.728000  0.95386400  0.92068160
57.760000  0.95388000  0.92067200
57.792000  0.95389600  0.92066240
57.824000  0.95391200  0.92065280
57.856000  0.95392800  0.92064320
57.888000  0.95394400  0.92063360
57.920000  0.95396000  0.92062400
57.952000  0.95397600  0.92061440
57.984000  0.95399200  0.92060480
58.016000  0.95400800  0.92059520
